Method,alpha,target_coverage,class_name,count,covered,coverage_rate,avg_set_size
mondrian_cp,0.2,0.8,DF,46,40,0.869565,2.434783
mondrian_cp,0.2,0.8,MEL,679,534,0.786451,1.714286
mondrian_cp,0.2,0.8,NV,1272,1049,0.824686,1.363208
mondrian_cp,0.2,0.8,SCC,87,71,0.816092,2.735632
mondrian_cp,0.2,0.8,VASC,37,29,0.783784,2.0
frequency_grouped_cp,0.2,0.8,AK,168,97,0.577381,2.053571
frequency_grouped_cp,0.2,0.8,BCC,491,456,0.928717,1.818737
frequency_grouped_cp,0.2,0.8,BKL,316,216,0.683544,1.813291
frequency_grouped_cp,0.2,0.8,DF,46,40,0.869565,2.217391
frequency_grouped_cp,0.2,0.8,MEL,679,467,0.687776,1.540501
frequency_grouped_cp,0.2,0.8,NV,1272,1107,0.870283,1.247642
frequency_grouped_cp,0.2,0.8,SCC,87,71,0.816092,2.298851
frequency_grouped_cp,0.2,0.8,VASC,37,28,0.756757,1.837838
